instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
17219,2012-12-25,1,1,12,7,1,2,0,2,0.22,0.2273,0.93,0.1642,0,6,6
17220,2012-12-25,1,1,12,8,1,2,0,2,0.24,0.2879,0.87,0.0,1,10,11
17221,2012-12-25,1,1,12,9,1,2,0,2,0.24,0.2576,0.87,0.0,7,21,28
17222,2012-12-25,1,1,12,10,1,2,0,1,0.28,0.3182,0.81,0.0,11,21,32
17223,2012-12-25,1,1,12,11,1,2,0,1,0.3,0.3182,0.75,0.0896,43,43,86
17224,2012-12-25,1,1,12,12,1,2,0,1,0.32,0.3333,0.76,0.0896,62,52,114
17225,2012-12-25,1,1,12,13,1,2,0,1,0.4,0.4091,0.5,0.3284,75,46,121
17226,2012-12-25,1,1,12,14,1,2,0,1,0.38,0.3939,0.46,0.2985,58,68,126
17227,2012-12-25,1,1,12,15,1,2,0,1,0.36,0.3333,0.5,0.2537,51,56,107
17228,2012-12-25,1,1,12,16,1,2,0,2,0.36,0.3333,0.5,0.2537,48,38,86
17229,2012-12-25,1,1,12,17,1,2,0,2,0.32,0.303,0.57,0.2537,16,34,50
17230,2012-12-25,1,1,12,18,1,2,0,2,0.32,0.303,0.66,0.2537,20,23,43
17231,2012-12-25,1,1,12,19,1,2,0,2,0.32,0.303,0.66,0.2239,16,20,36
17232,2012-12-25,1,1,12,20,1,2,0,2,0.32,0.303,0.66,0.2836,11,29,40
17233,2012-12-25,1,1,12,21,1,2,0,2,0.3,0.2879,0.65,0.194,8,26,34
17234,2012-12-25,1,1,12,22,1,2,0,2,0.3,0.303,0.7,0.1642,3,16,19
17235,2012-12-25,1,1,12,23,1,2,0,2,0.28,0.2727,0.65,0.2537,4,26,30
17236,2012-12-26,1,1,12,0,0,3,1,2,0.28,0.2727,0.65,0.2537,1,8,9
17237,2012-12-26,1,1,12,1,0,3,1,2,0.26,0.2273,0.65,0.2985,0,7,7
17238,2012-12-26,1,1,12,2,0,3,1,2,0.26,0.2273,0.65,0.2985,0,1,1
17239,2012-12-26,1,1,12,3,0,3,1,2,0.24,0.2121,0.7,0.3582,0,2,2
17240,2012-12-26,1,1,12,4,0,3,1,1,0.22,0.197,0.69,0.3582,0,2,2
17241,2012-12-26,1,1,12,5,0,3,1,2,0.22,0.2121,0.69,0.2836,0,11,11
17242,2012-12-26,1,1,12,6,0,3,1,2,0.22,0.2121,0.69,0.2239,0,36,36
17243,2012-12-26,1,1,12,7,0,3,1,3,0.2,0.1818,0.86,0.3284,0,26,26
17244,2012-12-26,1,1,12,8,0,3,1,3,0.2,0.1818,0.86,0.3284,0,31,31
17245,2012-12-26,1,1,12,9,0,3,1,3,0.2,0.1818,0.86,0.3284,1,22,23
17246,2012-12-26,1,1,12,10,0,3,1,3,0.2,0.1818,0.86,0.2985,0,8,8
17247,2012-12-26,1,1,12,11,0,3,1,3,0.2,0.1667,0.86,0.4627,0,10,10
17248,2012-12-26,1,1,12,12,0,3,1,3,0.22,0.197,0.87,0.3284,0,10,10
17249,2012-12-26,1,1,12,13,0,3,1,3,0.22,0.197,0.87,0.3284,0,15,15
17250,2012-12-26,1,1,12,14,0,3,1,3,0.22,0.2121,0.93,0.2537,0,20,20
17251,2012-12-26,1,1,12,15,0,3,1,3,0.26,0.2273,0.87,0.3582,0,13,13
17252,2012-12-26,1,1,12,16,0,3,1,3,0.26,0.2273,0.87,0.3582,0,13,13
17253,2012-12-26,1,1,12,17,0,3,1,3,0.26,0.2273,0.93,0.3582,2,51,53
17254,2012-12-26,1,1,12,18,0,3,1,3,0.28,0.2576,0.93,0.2985,1,42,43
17255,2012-12-26,1,1,12,19,0,3,1,3,0.3,0.2879,0.87,0.194,2,33,35
17256,2012-12-26,1,1,12,20,0,3,1,3,0.32,0.303,0.93,0.2537,0,32,32
17257,2012-12-26,1,1,12,21,0,3,1,2,0.3,0.2727,0.87,0.2985,0,20,20
17258,2012-12-26,1,1,12,22,0,3,1,3,0.24,0.197,0.93,0.4478,0,11,11
17259,2012-12-26,1,1,12,23,0,3,1,3,0.26,0.2273,0.87,0.2985,2,8,10
17260,2012-12-27,1,1,12,0,0,4,1,3,0.26,0.2273,0.87,0.2985,0,3,3
17261,2012-12-27,1,1,12,1,0,4,1,3,0.24,0.197,0.93,0.4478,0,5,5
17262,2012-12-27,1,1,12,2,0,4,1,2,0.24,0.197,0.87,0.4478,0,2,2
17263,2012-12-27,1,1,12,3,0,4,1,2,0.24,0.2273,0.87,0.2239,0,1,1
17264,2012-12-27,1,1,12,4,0,4,1,2,0.24,0.2121,0.87,0.3284,0,3,3
17265,2012-12-27,1,1,12,5,0,4,1,1,0.24,0.2424,0.75,0.1642,1,10,11
17266,2012-12-27,1,1,12,6,0,4,1,1,0.24,0.197,0.7,0.4925,0,45,45
17267,2012-12-27,1,1,12,7,0,4,1,1,0.24,0.2273,0.7,0.2239,0,90,90
17268,2012-12-27,1,1,12,8,0,4,1,1,0.26,0.2273,0.65,0.3582,2,206,208
17269,2012-12-27,1,1,12,9,0,4,1,1,0.26,0.2121,0.6,0.4925,6,127,133
17270,2012-12-27,1,1,12,10,0,4,1,1,0.28,0.2273,0.56,0.5224,8,67,75
17271,2012-12-27,1,1,12,11,0,4,1,2,0.28,0.2424,0.56,0.4478,23,80,103
17272,2012-12-27,1,1,12,12,0,4,1,1,0.3,0.2727,0.49,0.4627,22,87,109
17273,2012-12-27,1,1,12,13,0,4,1,1,0.3,0.2727,0.49,0.4627,19,99,118
17274,2012-12-27,1,1,12,14,0,4,1,2,0.26,0.2121,0.56,0.5224,25,94,119
17275,2012-12-27,1,1,12,15,0,4,1,2,0.26,0.2121,0.56,0.4478,31,89,120
17276,2012-12-27,1,1,12,16,0,4,1,2,0.26,0.2424,0.52,0.2836,23,151,174
17277,2012-12-27,1,1,12,17,0,4,1,2,0.26,0.2424,0.52,0.2836,30,227,257
17278,2012-12-27,1,1,12,18,0,4,1,2,0.24,0.2273,0.6,0.2537,9,188,197
17279,2012-12-27,1,1,12,19,0,4,1,1,0.24,0.2121,0.6,0.2836,11,106,117
17280,2012-12-27,1,1,12,20,0,4,1,1,0.24,0.2424,0.6,0.1642,12,79,91
17281,2012-12-27,1,1,12,21,0,4,1,2,0.24,0.2273,0.6,0.2537,12,51,63
17282,2012-12-27,1,1,12,22,0,4,1,2,0.24,0.2121,0.6,0.2836,11,33,44
17283,2012-12-27,1,1,12,23,0,4,1,2,0.24,0.2273,0.6,0.2537,2,24,26
17284,2012-12-28,1,1,12,0,0,5,1,2,0.24,0.2424,0.6,0.1642,3,22,25
17285,2012-12-28,1,1,12,1,0,5,1,1,0.24,0.2273,0.6,0.194,0,9,9
17286,2012-12-28,1,1,12,2,0,5,1,1,0.24,0.2273,0.6,0.2537,0,5,5
17287,2012-12-28,1,1,12,3,0,5,1,2,0.24,0.2424,0.6,0.1642,0,2,2
17288,2012-12-28,1,1,12,4,0,5,1,2,0.24,0.2576,0.6,0.1045,0,4,4
17289,2012-12-28,1,1,12,5,0,5,1,2,0.24,0.2576,0.6,0.0896,0,15,15
17290,2012-12-28,1,1,12,6,0,5,1,1,0.22,0.2121,0.64,0.2836,2,49,51
17291,2012-12-28,1,1,12,7,0,5,1,1,0.22,0.2273,0.64,0.1642,1,111,112
17292,2012-12-28,1,1,12,8,0,5,1,2,0.24,0.2424,0.6,0.1343,1,238,239
17293,2012-12-28,1,1,12,9,0,5,1,2,0.24,0.2121,0.6,0.2836,18,173,191
17294,2012-12-28,1,1,12,10,0,5,1,2,0.26,0.2424,0.56,0.2537,77,85,162
17295,2012-12-28,1,1,12,11,0,5,1,2,0.28,0.2727,0.52,0.2239,71,107,178
17296,2012-12-28,1,1,12,12,0,5,1,2,0.3,0.303,0.49,0.1343,72,150,222
17297,2012-12-28,1,1,12,13,0,5,1,2,0.3,0.303,0.49,0.1343,76,146,222
17298,2012-12-28,1,1,12,14,0,5,1,2,0.3,0.303,0.49,0.1343,84,177,261
17299,2012-12-28,1,1,12,15,0,5,1,2,0.3,0.3182,0.49,0.0,74,151,225
17300,2012-12-28,1,1,12,16,0,5,1,1,0.3,0.303,0.49,0.1343,42,208,250
17301,2012-12-28,1,1,12,17,0,5,1,1,0.24,0.2424,0.6,0.1343,43,228,271
17302,2012-12-28,1,1,12,18,0,5,1,1,0.24,0.2424,0.6,0.1343,16,197,213
17303,2012-12-28,1,1,12,19,0,5,1,2,0.24,0.2273,0.65,0.194,15,113,128
17304,2012-12-28,1,1,12,20,0,5,1,2,0.24,0.2576,0.65,0.1045,14,83,97
17305,2012-12-28,1,1,12,21,0,5,1,2,0.24,0.2424,0.7,0.1343,17,75,92
17306,2012-12-28,1,1,12,22,0,5,1,2,0.24,0.2576,0.7,0.0896,13,49,62
17307,2012-12-28,1,1,12,23,0,5,1,2,0.24,0.2576,0.65,0.0896,5,54,59
17308,2012-12-29,1,1,12,0,0,6,0,2,0.24,0.2424,0.7,0.0,1,25,26
17309,2012-12-29,1,1,12,1,0,6,0,2,0.24,0.2424,0.75,0.0896,6,31,37
17310,2012-12-29,1,1,12,2,0,6,0,2,0.24,0.2424,0.7,0.0,1,18,19
17311,2012-12-29,1,1,12,3,0,6,0,2,0.24,0.2424,0.75,0.0,1,5,6
17312,2012-12-29,1,1,12,4,0,6,0,2,0.24,0.2424,0.75,0.0896,0,3,3
17313,2012-12-29,1,1,12,5,0,6,0,2,0.24,0.2424,0.75,0.0896,0,3,3
17314,2012-12-29,1,1,12,6,0,6,0,2,0.26,0.2424,0.7,0.1045,0,7,7
17315,2012-12-29,1,1,12,7,0,6,0,2,0.26,0.2424,0.7,0.1343,1,17,18
17316,2012-12-29,1,1,12,8,0,6,0,2,0.26,0.2424,0.81,0.0,9,35,44
17317,2012-12-29,1,1,12,9,0,6,0,2,0.26,0.2424,0.81,0.0,16,33,49
17318,2012-12-29,1,1,12,10,0,6,0,3,0.26,0.2424,0.81,0.1343,6,35,41
17319,2012-12-29,1,1,12,11,0,6,0,3,0.2,0.2424,0.93,0.0896,7,38,45
17320,2012-12-29,1,1,12,12,0,6,0,3,0.2,0.2424,1.0,0.0,5,43,48
17321,2012-12-29,1,1,12,13,0,6,0,3,0.2,0.2424,1.0,0.0,13,71,84
17322,2012-12-29,1,1,12,14,0,6,0,2,0.24,0.2424,0.87,0.0896,10,88,98
17323,2012-12-29,1,1,12,15,0,6,0,2,0.24,0.2424,0.87,0.0,19,110,129
17324,2012-12-29,1,1,12,16,0,6,0,1,0.3,0.2424,0.75,0.1045,22,125,147
17325,2012-12-29,1,1,12,17,0,6,0,1,0.26,0.2424,0.79,0.1045,18,100,118
17326,2012-12-29,1,1,12,18,0,6,0,1,0.3,0.2424,0.7,0.194,8,102,110
17327,2012-12-29,1,1,12,19,0,6,0,2,0.3,0.2424,0.61,0.2537,7,90,97
17328,2012-12-29,1,1,12,20,0,6,0,2,0.3,0.2424,0.56,0.5522,2,64,66
17329,2012-12-29,1,1,12,21,0,6,0,2,0.28,0.2424,0.56,0.4925,4,56,60
17330,2012-12-29,1,1,12,22,0,6,0,2,0.26,0.2424,0.6,0.4627,3,51,54
17331,2012-12-29,1,1,12,23,0,6,0,2,0.26,0.2424,0.6,0.0,0,32,32
17332,2012-12-30,1,1,12,0,0,0,0,2,0.26,0.2576,0.6,0.1642,0,41,41
17333,2012-12-30,1,1,12,1,0,0,0,2,0.26,0.2273,0.56,0.4179,1,27,28
17334,2012-12-30,1,1,12,2,0,0,0,2,0.26,0.2424,0.56,0.2836,0,19,19
17335,2012-12-30,1,1,12,3,0,0,0,2,0.26,0.2273,0.56,0.4179,1,14,15
17336,2012-12-30,1,1,12,4,0,0,0,2,0.26,0.2576,0.56,0.2239,0,7,7
17337,2012-12-30,1,1,12,5,0,0,0,2,0.26,0.2273,0.48,0.2985,0,2,2
17338,2012-12-30,1,1,12,6,0,0,0,2,0.24,0.197,0.52,0.4179,1,7,8
17339,2012-12-30,1,1,12,7,0,0,0,1,0.24,0.2121,0.56,0.3582,0,13,13
17340,2012-12-30,1,1,12,8,0,0,0,1,0.24,0.197,0.52,0.4627,1,32,33
17341,2012-12-30,1,1,12,9,0,0,0,1,0.24,0.2121,0.52,0.3881,9,65,74
17342,2012-12-30,1,1,12,10,0,0,0,1,0.26,0.2121,0.41,0.5821,31,91,122
17343,2012-12-30,1,1,12,11,0,0,0,1,0.26,0.2273,0.41,0.4179,33,103,136
17344,2012-12-30,1,1,12,12,0,0,0,1,0.28,0.2273,0.36,0.5821,47,97,144
17345,2012-12-30,1,1,12,13,0,0,0,1,0.3,0.2576,0.36,0.6567,49,120,169
17346,2012-12-30,1,1,12,14,0,0,0,1,0.3,0.2727,0.36,0.4627,39,121,160
17347,2012-12-30,1,1,12,15,0,0,0,1,0.28,0.2576,0.38,0.3284,37,101,138
17348,2012-12-30,1,1,12,16,0,0,0,1,0.28,0.2424,0.38,0.4179,31,102,133
17349,2012-12-30,1,1,12,17,0,0,0,1,0.26,0.2273,0.41,0.3284,26,97,123
17350,2012-12-30,1,1,12,18,0,0,0,2,0.24,0.2121,0.44,0.2985,12,113,125
17351,2012-12-30,1,1,12,19,0,0,0,1,0.34,0.3636,0.61,0.0,16,86,102
17352,2012-12-30,1,1,12,20,0,0,0,1,0.22,0.197,0.47,0.3284,9,63,72
17353,2012-12-30,1,1,12,21,0,0,0,1,0.2,0.2121,0.51,0.1642,5,42,47
17354,2012-12-30,1,1,12,22,0,0,0,1,0.2,0.197,0.55,0.194,6,30,36
17355,2012-12-30,1,1,12,23,0,0,0,1,0.2,0.197,0.51,0.2239,10,39,49
17356,2012-12-31,1,1,12,0,0,1,1,1,0.18,0.1818,0.55,0.194,4,30,34
17357,2012-12-31,1,1,12,1,0,1,1,1,0.18,0.1818,0.55,0.194,6,13,19
17358,2012-12-31,1,1,12,2,0,1,1,1,0.16,0.1667,0.59,0.1642,3,8,11
17359,2012-12-31,1,1,12,3,0,1,1,1,0.16,0.1818,0.59,0.1045,0,1,1
17360,2012-12-31,1,1,12,4,0,1,1,1,0.14,0.1667,0.69,0.1045,0,3,3
17361,2012-12-31,1,1,12,5,0,1,1,1,0.16,0.1515,0.64,0.194,0,9,9
17362,2012-12-31,1,1,12,6,0,1,1,1,0.16,0.1667,0.64,0.1642,0,40,40
17363,2012-12-31,1,1,12,7,0,1,1,1,0.16,0.1818,0.64,0.1343,2,83,85
17364,2012-12-31,1,1,12,8,0,1,1,1,0.14,0.1515,0.69,0.1343,9,187,196
17365,2012-12-31,1,1,12,9,0,1,1,2,0.18,0.2121,0.64,0.1045,13,144,157
17366,2012-12-31,1,1,12,10,0,1,1,2,0.2,0.2121,0.69,0.1343,33,87,120
17367,2012-12-31,1,1,12,11,0,1,1,2,0.22,0.2273,0.6,0.194,43,114,157
17368,2012-12-31,1,1,12,12,0,1,1,2,0.24,0.2273,0.56,0.194,52,172,224
17369,2012-12-31,1,1,12,13,0,1,1,2,0.26,0.2576,0.44,0.1642,38,165,203
17370,2012-12-31,1,1,12,14,0,1,1,2,0.28,0.2727,0.45,0.2239,62,185,247
17371,2012-12-31,1,1,12,15,0,1,1,2,0.28,0.2879,0.45,0.1343,69,246,315
17372,2012-12-31,1,1,12,16,0,1,1,2,0.26,0.2576,0.48,0.194,30,184,214
17373,2012-12-31,1,1,12,17,0,1,1,2,0.26,0.2879,0.48,0.0896,14,150,164
17374,2012-12-31,1,1,12,18,0,1,1,2,0.26,0.2727,0.48,0.1343,10,112,122
17375,2012-12-31,1,1,12,19,0,1,1,2,0.26,0.2576,0.6,0.1642,11,108,119
17376,2012-12-31,1,1,12,20,0,1,1,2,0.26,0.2576,0.6,0.1642,8,81,89
17377,2012-12-31,1,1,12,21,0,1,1,1,0.26,0.2576,0.6,0.1642,7,83,90
17378,2012-12-31,1,1,12,22,0,1,1,1,0.26,0.2727,0.56,0.1343,13,48,61
17379,2012-12-31,1,1,12,23,0,1,1,1,0.26,0.2727,0.65,0.1343,12,37,49
